Amostra,Precisao,Saudaveis,Doentes,Incertos
saudavel,50,91.0,9.0,0.0
saudavel,51,91.0,9.0,0.0
saudavel,52,91.0,9.0,0.0
saudavel,53,91.0,9.0,0.0
saudavel,54,91.0,9.0,0.0
saudavel,55,91.0,9.0,0.0
saudavel,56,91.0,9.0,0.0
saudavel,57,91.0,9.0,0.0
saudavel,58,91.0,9.0,0.0
saudavel,59,91.0,9.0,0.0
saudavel,60,91.0,9.0,0.0
saudavel,61,91.0,9.0,0.0
saudavel,62,91.0,9.0,0.0
saudavel,63,91.0,9.0,0.0
saudavel,64,91.0,9.0,0.0
saudavel,65,91.0,9.0,0.0
saudavel,66,91.0,9.0,0.0
saudavel,67,91.0,9.0,0.0
saudavel,68,91.0,9.0,0.0
saudavel,69,91.0,9.0,0.0
saudavel,70,91.0,9.0,0.0
saudavel,71,91.0,9.0,0.0
saudavel,72,91.0,9.0,0.0
saudavel,73,91.0,9.0,0.0
saudavel,74,91.0,9.0,0.0
saudavel,75,91.0,9.0,0.0
saudavel,76,91.0,9.0,0.0
saudavel,77,91.0,9.0,0.0
saudavel,78,91.0,9.0,0.0
saudavel,79,91.0,9.0,0.0
saudavel,80,91.0,9.0,0.0
saudavel,81,91.0,9.0,0.0
saudavel,82,91.0,9.0,0.0
saudavel,83,91.0,8.0,1.0
saudavel,84,91.0,8.0,1.0
saudavel,85,91.0,7.000000000000001,2.0
saudavel,86,91.0,7.000000000000001,2.0
saudavel,87,91.0,7.000000000000001,2.0
saudavel,88,91.0,6.0,3.0
saudavel,89,91.0,6.0,3.0
saudavel,90,91.0,6.0,3.0
saudavel,91,90.0,6.0,4.0
saudavel,92,90.0,6.0,4.0
saudavel,93,90.0,6.0,4.0
saudavel,94,89.0,6.0,5.0
saudavel,95,89.0,6.0,5.0
saudavel,96,89.0,6.0,5.0
saudavel,97,89.0,6.0,5.0
saudavel,98,89.0,6.0,5.0
saudavel,99,89.0,5.0,6.0
saudavel,100,0.0,2.0,98.0
doente,50,7.000000000000001,93.0,0.0
doente,51,7.000000000000001,93.0,0.0
doente,52,7.000000000000001,91.0,2.0
doente,53,6.0,91.0,3.0
doente,54,6.0,91.0,3.0
doente,55,6.0,91.0,3.0
doente,56,6.0,91.0,3.0
doente,57,6.0,91.0,3.0
doente,58,6.0,91.0,3.0
doente,59,6.0,91.0,3.0
doente,60,6.0,91.0,3.0
doente,61,6.0,90.0,4.0
doente,62,6.0,90.0,4.0
doente,63,6.0,90.0,4.0
doente,64,6.0,90.0,4.0
doente,65,6.0,90.0,4.0
doente,66,6.0,89.0,5.0
doente,67,6.0,89.0,5.0
doente,68,6.0,89.0,5.0
doente,69,4.0,89.0,7.000000000000001
doente,70,4.0,89.0,7.000000000000001
doente,71,4.0,89.0,7.000000000000001
doente,72,4.0,88.0,8.0
doente,73,4.0,88.0,8.0
doente,74,4.0,88.0,8.0
doente,75,4.0,87.0,9.0
doente,76,4.0,86.0,10.0
doente,77,4.0,86.0,10.0
doente,78,4.0,86.0,10.0
doente,79,4.0,86.0,10.0
doente,80,4.0,86.0,10.0
doente,81,4.0,86.0,10.0
doente,82,4.0,86.0,10.0
doente,83,4.0,86.0,10.0
doente,84,4.0,85.0,11.0
doente,85,4.0,85.0,11.0
doente,86,4.0,85.0,11.0
doente,87,4.0,85.0,11.0
doente,88,3.0,85.0,12.0
doente,89,3.0,85.0,12.0
doente,90,2.0,85.0,13.0
doente,91,2.0,85.0,13.0
doente,92,2.0,83.0,15.0
doente,93,2.0,82.0,16.0
doente,94,2.0,82.0,16.0
doente,95,2.0,80.0,18.0
doente,96,1.0,80.0,19.0
doente,97,1.0,78.0,21.0
doente,98,1.0,75.0,24.0
doente,99,1.0,72.0,27.0
doente,100,0.0,27.0,73.0
