Amostra,Precisao,Saudaveis,Doentes,Incertos
doente,50,2.0,98.0,0.0
doente,51,2.0,98.0,0.0
doente,52,2.0,98.0,0.0
doente,53,2.0,98.0,0.0
doente,54,2.0,98.0,0.0
doente,55,2.0,98.0,0.0
doente,56,2.0,98.0,0.0
doente,57,2.0,98.0,0.0
doente,58,2.0,98.0,0.0
doente,59,2.0,98.0,0.0
doente,60,2.0,98.0,0.0
doente,61,2.0,98.0,0.0
doente,62,2.0,98.0,0.0
doente,63,2.0,98.0,0.0
doente,64,2.0,98.0,0.0
doente,65,2.0,98.0,0.0
doente,66,2.0,98.0,0.0
doente,67,2.0,98.0,0.0
doente,68,2.0,98.0,0.0
doente,69,2.0,98.0,0.0
doente,70,2.0,98.0,0.0
doente,71,2.0,98.0,0.0
doente,72,1.0,98.0,1.0
doente,73,1.0,98.0,1.0
doente,74,1.0,98.0,1.0
doente,75,1.0,98.0,1.0
doente,76,1.0,98.0,1.0
doente,77,1.0,98.0,1.0
doente,78,1.0,98.0,1.0
doente,79,1.0,98.0,1.0
doente,80,1.0,98.0,1.0
doente,81,1.0,98.0,1.0
doente,82,1.0,98.0,1.0
doente,83,1.0,98.0,1.0
doente,84,1.0,98.0,1.0
doente,85,1.0,98.0,1.0
doente,86,1.0,98.0,1.0
doente,87,1.0,98.0,1.0
doente,88,1.0,98.0,1.0
doente,89,1.0,98.0,1.0
doente,90,1.0,98.0,1.0
doente,91,1.0,98.0,1.0
doente,92,1.0,98.0,1.0
doente,93,1.0,98.0,1.0
doente,94,1.0,98.0,1.0
doente,95,1.0,98.0,1.0
doente,96,0.0,97.0,3.0
doente,97,0.0,97.0,3.0
doente,98,0.0,97.0,3.0
doente,99,0.0,97.0,3.0
doente,100,0.0,59.0,41.0
saudavel,50,95.0,5.0,0.0
saudavel,51,95.0,5.0,0.0
saudavel,52,95.0,5.0,0.0
saudavel,53,95.0,5.0,0.0
saudavel,54,95.0,5.0,0.0
saudavel,55,95.0,5.0,0.0
saudavel,56,95.0,5.0,0.0
saudavel,57,95.0,5.0,0.0
saudavel,58,95.0,5.0,0.0
saudavel,59,95.0,5.0,0.0
saudavel,60,95.0,5.0,0.0
saudavel,61,95.0,5.0,0.0
saudavel,62,95.0,5.0,0.0
saudavel,63,95.0,5.0,0.0
saudavel,64,95.0,5.0,0.0
saudavel,65,95.0,5.0,0.0
saudavel,66,95.0,5.0,0.0
saudavel,67,95.0,5.0,0.0
saudavel,68,95.0,5.0,0.0
saudavel,69,95.0,5.0,0.0
saudavel,70,95.0,5.0,0.0
saudavel,71,95.0,5.0,0.0
saudavel,72,95.0,5.0,0.0
saudavel,73,95.0,5.0,0.0
saudavel,74,95.0,5.0,0.0
saudavel,75,95.0,5.0,0.0
saudavel,76,95.0,5.0,0.0
saudavel,77,95.0,5.0,0.0
saudavel,78,95.0,5.0,0.0
saudavel,79,95.0,5.0,0.0
saudavel,80,95.0,5.0,0.0
saudavel,81,95.0,5.0,0.0
saudavel,82,95.0,5.0,0.0
saudavel,83,95.0,5.0,0.0
saudavel,84,95.0,5.0,0.0
saudavel,85,95.0,5.0,0.0
saudavel,86,95.0,5.0,0.0
saudavel,87,95.0,5.0,0.0
saudavel,88,94.0,5.0,1.0
saudavel,89,94.0,5.0,1.0
saudavel,90,93.0,5.0,2.0
saudavel,91,93.0,5.0,2.0
saudavel,92,93.0,5.0,2.0
saudavel,93,93.0,5.0,2.0
saudavel,94,93.0,5.0,2.0
saudavel,95,93.0,4.0,3.0
saudavel,96,93.0,4.0,3.0
saudavel,97,93.0,4.0,3.0
saudavel,98,93.0,4.0,3.0
saudavel,99,92.0,4.0,4.0
saudavel,100,28.000000000000004,2.0,70.0
